paper_id,title,published_date,abstract,entry_id,section_id,theme_id
12,"Grounded Discovery of Coordinate Term Relationships between Software
  Entities",2015-05-01 20:40:00,"We present an approach for the detection of coordinate-term relationships
between entities from the software domain, that refer to Java classes. Usually,
relations are found by examining corpus statistics associated with text
entities. In some technical domains, however, we have access to additional
information about the real-world objects named by the entities, suggesting that
coupling information about the ""grounded"" entities with corpus statistics might
lead to improved methods for relation discovery. To this end, we develop a
similarity measure for Java classes using distributional information about how
they are used in software, which we combine with corpus statistics on the
distribution of contexts in which the classes appear in text. Using our
approach, cross-validation accuracy on this dataset can be improved
dramatically, from around 60% to 88%. Human labeling results show that our
classifier has an F1 score of 86% over the top 1000 predicted pairs.",http://arxiv.org/abs/1505.00277v1,1,1
13,Release ZERO.0.1 of package RefereeToolbox,2010-03-12 21:25:10,"RefereeToolbox is a java package implementing combination operators for
fusing evidences. It is downloadable from:
http://refereefunction.fredericdambreville.com/releases RefereeToolbox is based
on an interpretation of the fusion rules by means of Referee Functions. This
approach implies a dissociation between the definition of the combination and
its actual implementation, which is common to all referee-based combinations.
As a result, RefereeToolbox is designed with the aim to be generic and
evolutive.",http://arxiv.org/abs/1003.2641v1,1,1
14,"Authoring Worked Examples for Java Programming with Human-AI
  Collaboration",2023-12-04 18:32:55,"Worked examples (solutions to typical programming problems presented as a
source code in a certain language and are used to explain the topics from a
programming class) are among the most popular types of learning content in
programming classes. Most approaches and tools for presenting these examples to
students are based on line-by-line explanations of the example code. However,
instructors rarely have time to provide line-by-line explanations for a large
number of examples typically used in a programming class. In this paper, we
explore and assess a human-AI collaboration approach to authoring worked
examples for Java programming. We introduce an authoring system for creating
Java worked examples that generates a starting version of code explanations and
presents it to the instructor to edit if necessary. We also present a study
that assesses the quality of explanations created with this approach.",http://arxiv.org/abs/2312.02105v1,1,1
15,Testing Global Constraints,2018-07-11 07:45:46,"Every Constraint Programming (CP) solver exposes a library of constraints for
solving combinatorial problems. In order to be useful, CP solvers need to be
bug-free. Therefore the testing of the solver is crucial to make developers and
users confident. We present a Java library allowing any JVM based solver to
test that the implementations of the individual constraints are correct. The
library can be used in a test suite executed in a continuous integration tool
or it can also be used to discover minimalist instances violating some
properties (arc-consistency, etc) in order to help the developer to identify
the origin of the problem using standard debuggers.",http://arxiv.org/abs/1807.03975v1,1,1
16,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,2000-03-14 04:58:18,"SATEN is an object-oriented web-based extraction and belief revision engine.
It runs on any computer via a Java 1.1 enabled browser such as Netscape 4.
SATEN performs belief revision based on the AGM approach. The extraction and
belief revision reasoning engines operate on a user specified ranking of
information. One of the features of SATEN is that it can be used to integrate
mutually inconsistent commensuate rankings into a consistent ranking.",http://arxiv.org/abs/cs/0003059v1,1,1
17,"Using Java Geometry Expert as Guide in the Preparations for Math
  Contests",2024-01-22 12:52:07,"We give an insight into Java Geometry Expert (JGEX) in use in a school
context, focusing on the Austrian school system. JGEX can offer great support
in some classroom situations, especially for solving mathematical competition
tasks. Also, we discuss some limitations of the program.",http://arxiv.org/abs/2401.13704v1,1,1
18,RuleKit: A Comprehensive Suite for Rule-Based Learning,2019-08-02 19:53:46,"Rule-based models are often used for data analysis as they combine
interpretability with predictive power. We present RuleKit, a versatile tool
for rule learning. Based on a sequential covering induction algorithm, it is
suitable for classification, regression, and survival problems. The presence of
a user-guided induction facilitates verifying hypotheses concerning data
dependencies which are expected or of interest. The powerful and flexible
experimental environment allows straightforward investigation of different
induction schemes. The analysis can be performed in batch mode, through
RapidMiner plug-in, or R package. A documented Java API is also provided for
convenience. The software is publicly available at GitHub under GNU AGPL-3.0
license.",http://arxiv.org/abs/1908.01031v1,1,1
19,"Combining Relational Algebra, SQL, Constraint Modelling, and Local
  Search",2006-01-11 14:29:44,"The goal of this paper is to provide a strong integration between constraint
modelling and relational DBMSs. To this end we propose extensions of standard
query languages such as relational algebra and SQL, by adding constraint
modelling capabilities to them. In particular, we propose non-deterministic
extensions of both languages, which are specially suited for combinatorial
problems. Non-determinism is introduced by means of a guessing operator, which
declares a set of relations to have an arbitrary extension. This new operator
results in languages with higher expressive power, able to express all problems
in the complexity class NP. Some syntactical restrictions which make data
complexity polynomial are shown. The effectiveness of both extensions is
demonstrated by means of several examples. The current implementation, written
in Java using local search techniques, is described. To appear in Theory and
Practice of Logic Programming (TPLP)",http://arxiv.org/abs/cs/0601043v1,1,1
20,"The Potential of LLMs in Automating Software Testing: From Generation to
  Reporting",2024-12-31 02:06:46,"Having a high quality software is essential in software engineering, which
requires robust validation and verification processes during testing
activities. Manual testing, while effective, can be time consuming and costly,
leading to an increased demand for automated methods. Recent advancements in
Large Language Models (LLMs) have significantly influenced software
engineering, particularly in areas like requirements analysis, test automation,
and debugging. This paper explores an agent-oriented approach to automated
software testing, using LLMs to reduce human intervention and enhance testing
efficiency. The proposed framework integrates LLMs to generate unit tests,
visualize call graphs, and automate test execution and reporting. Evaluations
across multiple applications in Python and Java demonstrate the system's high
test coverage and efficient operation. This research underscores the potential
of LLM-powered agents to streamline software testing workflows while addressing
challenges in scalability and accuracy.",http://arxiv.org/abs/2501.00217v1,1,1
21,"The Behavior of Large Language Models When Prompted to Generate Code
  Explanations",2023-11-02 17:14:38,"This paper systematically investigates the generation of code explanations by
Large Language Models (LLMs) for code examples commonly encountered in
introductory programming courses. Our findings reveal significant variations in
the nature of code explanations produced by LLMs, influenced by factors such as
the wording of the prompt, the specific code examples under consideration, the
programming language involved, the temperature parameter, and the version of
the LLM. However, a consistent pattern emerges for Java and Python, where
explanations exhibit a Flesch-Kincaid readability level of approximately 7-8
grade and a consistent lexical density, indicating the proportion of meaningful
words relative to the total explanation size. Additionally, the generated
explanations consistently achieve high scores for correctness, but lower scores
on three other metrics: completeness, conciseness, and specificity.",http://arxiv.org/abs/2311.01490v2,1,1
22,Opti Code Pro: A Heuristic Search-based Approach to Code Refactoring,2023-05-12 16:39:38,"This paper presents an approach that evaluates best-first search methods to
code refactoring. The motivation for code refactoring could be to improve the
design, structure, or implementation of an existing program without changing
its functionality. To solve a very specific problem of coupling and cohesion,
we propose using heuristic search-based techniques on an approximation of the
full code refactoring problem, to guide the refactoring process toward
solutions that have high cohesion and low coupling. We evaluated our approach
by providing demonstrative examples of the effectiveness of this approach on
random state problems and created a tool to implement the algorithm on Java
projects.",http://arxiv.org/abs/2305.07594v1,1,1
23,"ADAPQUEST: A Software for Web-Based Adaptive Questionnaires based on
  Bayesian Networks",2021-12-29 09:50:44,"We introduce ADAPQUEST, a software tool written in Java for the development
of adaptive questionnaires based on Bayesian networks. Adaptiveness is intended
here as the dynamical choice of the question sequence on the basis of an
evolving model of the skill level of the test taker. Bayesian networks offer a
flexible and highly interpretable framework to describe such testing process,
especially when coping with multiple skills. ADAPQUEST embeds dedicated
elicitation strategies to simplify the elicitation of the questionnaire
parameters. An application of this tool for the diagnosis of mental disorders
is also discussed together with some implementation details.",http://arxiv.org/abs/2112.14476v1,1,1
24,"Knowledge Representation on the Web revisited: Tools for Prototype Based
  Ontologies",2016-07-16 23:42:44,"In recent years RDF and OWL have become the most common knowledge
representation languages in use on the Web, propelled by the recommendation of
the W3C. In this paper we present a practical implementation of a different
kind of knowledge representation based on Prototypes. In detail, we present a
concrete syntax easily and effectively parsable by applications. We also
present extensible implementations of a prototype knowledge base, specifically
designed for storage of Prototypes. These implementations are written in Java
and can be extended by using the implementation as a library. Alternatively,
the software can be deployed as such. Further, results of benchmarks for both
local and web deployment are presented. This paper augments a research paper,
in which we describe the more theoretical aspects of our Prototype system.",http://arxiv.org/abs/1607.04809v1,1,1
25,Building a Truly Distributed Constraint Solver with JADE,2015-09-03 11:41:45,"Real life problems such as scheduling meeting between people at different
locations can be modelled as distributed Constraint Satisfaction Problems
(CSPs). Suitable and satisfactory solutions can then be found using constraint
satisfaction algorithms which can be exhaustive (backtracking) or otherwise
(local search). However, most research in this area tested their algorithms by
simulation on a single PC with a single program entry point. The main
contribution of our work is the design and implementation of a truly
distributed constraint solver based on a local search algorithm using Java
Agent DEvelopment framework (JADE) to enable communication between agents on
different machines. Particularly, we discuss design and implementation issues
related to truly distributed constraint solver which might not be critical when
simulated on a single machine. Evaluation results indicate that our truly
distributed constraint solver works well within the observed limitations when
tested with various distributed CSPs. Our application can also incorporate any
constraint solving algorithm with little modifications.",http://arxiv.org/abs/1509.01040v1,1,1
26,NLML--a Markup Language to Describe the Unlimited English Grammar,2004-04-07 06:54:45,"In this paper we present NLML (Natural Language Markup Language), a markup
language to describe the syntactic and semantic structure of any grammatically
correct English expression. At first the related works are analyzed to
demonstrate the necessity of the NLML: simple form, easy management and direct
storage. Then the description of the English grammar with NLML is introduced in
details in three levels: sentences (with different complexities, voices, moods,
and tenses), clause (relative clause and noun clause) and phrase (noun phrase,
verb phrase, prepositional phrase, adjective phrase, adverb phrase and
predicate phrase). At last the application fields of the NLML in NLP are shown
with two typical examples: NLOJM (Natural Language Object Modal in Java) and
NLDB (Natural Language Database).",http://arxiv.org/abs/cs/0404018v1,1,1
27,Mining Software Components from Object-Oriented APIs,2016-06-02 07:08:01,"Object-oriented Application Programing Interfaces (APIs) support software
reuse by providing pre-implemented functionalities. Due to the huge number of
included classes, reusing and understanding large APIs is a complex task.
Otherwise, software components are admitted to be more reusable and
understandable entities than object-oriented ones. Thus, in this paper, we
propose an approach for reengineering object-oriented APIs into component-based
ones. We mine components as a group of classes based on the frequency they are
used together and their ability to form a quality-centric component. To
validate our approach, we experimented on 100 Java applications that used
Android APIs.",http://arxiv.org/abs/1606.00561v1,1,1
28,Automated Validation of COBOL to Java Transformation,2025-04-14 06:13:32,"Recent advances in Large Language Model (LLM) based Generative AI techniques
have made it feasible to translate enterpriselevel code from legacy languages
such as COBOL to modern languages such as Java or Python. While the results of
LLM-based automatic transformation are encouraging, the resulting code cannot
be trusted to correctly translate the original code. We propose a framework and
a tool to help validate the equivalence of COBOL and translated Java. The
results can also help repair the code if there are some issues and provide
feedback to the AI model to improve. We have developed a
symbolic-execution-based test generation to automatically generate unit tests
for the source COBOL programs which also mocks the external resource calls. We
generate equivalent JUnit test cases with equivalent mocking as COBOL and run
them to check semantic equivalence between original and translated programs.",http://arxiv.org/abs/2506.10999v1,1,1
29,"LeoTask: a fast, flexible and reliable framework for computational
  research",2015-01-07 22:33:40,"LeoTask is a Java library for computation-intensive and time-consuming
research tasks. It automatically executes tasks in parallel on multiple CPU
cores on a computing facility. It uses a configuration file to enable automatic
exploration of parameter space and flexible aggregation of results, and
therefore allows researchers to focus on programming the key logic of a
computing task. It also supports reliable recovery from interruptions, dynamic
and cloneable networks, and integration with the plotting software Gnuplot.",http://arxiv.org/abs/1501.01678v1,1,1
30,"Extending Object-Oriented Languages by Declarative Specifications of
  Complex Objects using Answer-Set Programming",2011-12-05 13:28:53,"Many applications require complexly structured data objects. Developing new
or adapting existing algorithmic solutions for creating such objects can be a
non-trivial and costly task if the considered objects are subject to different
application-specific constraints. Often, however, it is comparatively easy to
declaratively describe the required objects. In this paper, we propose to use
answer-set programming (ASP)---a well-established declarative programming
paradigm from the area of artificial intelligence---for instantiating objects
in standard object-oriented programming languages. In particular, we extend
Java with declarative specifications from which the required objects can be
automatically generated using available ASP solver technology.",http://arxiv.org/abs/1112.0922v2,1,1
31,"ACE, a generic constraint solver",2023-01-06 12:15:18,"Constraint Programming (CP) is a useful technology for modeling and solving
combinatorial constrained problems. On the one hand, on can use a library like
PyCSP3 for easily modeling problems arising in various application fields
(e.g., scheduling, planning, data-mining, cryptography, bio-informatics,
organic chemistry, etc.). Problem instances can then be directly generated from
specific models and data. On the other hand, for solving instances (notably,
represented in XCSP3 format), one can use a constraint solver like ACE, which
is presented in this paper. ACE is an open-source constraint solver, developed
in Java, which focuses on integer variables (including 0/1-Boolean variables),
state-of-the-art table constraints, popular global constraints, search
heuristics and (mono-criterion) optimization.",http://arxiv.org/abs/2302.05405v2,1,1
32,"Extending Modular Semantics for Bipolar Weighted Argumentation
  (Technical Report)",2018-09-19 11:54:46,"Weighted bipolar argumentation frameworks offer a tool for decision support
and social media analysis. Arguments are evaluated by an iterative procedure
that takes initial weights and attack and support relations into account. Until
recently, convergence of these iterative procedures was not very well
understood in cyclic graphs. Mossakowski and Neuhaus recently introduced a
unification of different approaches and proved first convergence and divergence
results. We build up on this work, simplify and generalize convergence results
and complement them with runtime guarantees. As it turns out, there is a
tradeoff between semantics' convergence guarantees and their ability to move
strength values away from the initial weights. We demonstrate that divergence
problems can be avoided without this tradeoff by continuizing semantics.
Semantically, we extend the framework with a Duality property that assures a
symmetric impact of attack and support relations. We also present a Java
implementation of modular semantics and explain the practical usefulness of the
theoretical ideas.",http://arxiv.org/abs/1809.07133v2,1,1
33,"""Model and Run"" Constraint Networks with a MILP Engine",2016-11-27 20:43:27,"Constraint Programming (CP) users need significant expertise in order to
model their problems appropriately, notably to select propagators and search
strategies. This puts the brakes on a broader uptake of CP. In this paper, we
introduce MICE, a complete Java CP modeler that can use any Mixed Integer
Linear Programming (MILP) solver as a solution technique. Our aim is to provide
an alternative tool for democratizing the ""CP-style"" modeling thanks to its
simplicity of use, with reasonable solving capabilities. Our contributions
include new decompositions of (reified) constraints and constraints on
numerical variables.",http://arxiv.org/abs/1611.08908v1,1,1
34,"The Response of Farmer Welfares Amidst Food Prices Shock and Inflation
  in the Province of East Java",2025-01-15 05:57:46,"Price uncertainty in food commodities can create uncertainty for farmers and
potentially negatively impact the level of farmer household well-being. On the
other hand, the agriculture sector in the province of East Java has greatly
contributed to East Java's economy. This paper analyses the response of farmer
welfare through farmer exchange values amidst fluctuation shock of food needed
prices and inflation level in the east java province. The research method of
this paper employs the impulse response function of the Bayesian Vector
Autoregressive (BVAR) model by using time series secondary data from May 2017
until December 2023. This paper finds that the shock that happens to aggregate
food prices can increase farmer exchange values even though the shock to the
inflation level has reduced farmer exchange values and increased aggregate food
prices.",http://arxiv.org/abs/2501.08601v1,2,1
35,A Language Model of Java Methods with Train/Test Deduplication,2023-05-15 00:22:02,"This tool demonstration presents a research toolkit for a language model of
Java source code. The target audience includes researchers studying problems at
the granularity level of subroutines, statements, or variables in Java. In
contrast to many existing language models, we prioritize features for
researchers including an open and easily-searchable training set, a held out
test set with different levels of deduplication from the training set,
infrastructure for deduplicating new examples, and an implementation platform
suitable for execution on equipment accessible to a relatively modest budget.
Our model is a GPT2-like architecture with 350m parameters. Our training set
includes 52m Java methods (9b tokens) and 13m StackOverflow threads (10.5b
tokens). To improve accessibility of research to more members of the community,
we limit local resource requirements to GPUs with 16GB video memory. We provide
a test set of held out Java methods that include descriptive comments,
including the entire Java projects for those methods. We also provide
deduplication tools using precomputed hash tables at various similarity
thresholds to help researchers ensure that their own test examples are not in
the training set. We make all our tools and data open source and available via
Huggingface and Github.",http://arxiv.org/abs/2305.08286v1,1,1
36,"From Code to Play: Benchmarking Program Search for Games Using Large
  Language Models",2024-12-05 10:50:58,"Large language models (LLMs) have shown impressive capabilities in generating
program code, opening exciting opportunities for applying program synthesis to
games. In this work, we explore the potential of LLMs to directly synthesize
usable code for a wide range of gaming applications, focusing on two
programming languages, Python and Java. We use an evolutionary hill-climbing
algorithm, where the mutations and seeds of the initial programs are controlled
by LLMs. For Python, the framework covers various game-related tasks, including
five miniature versions of Atari games, ten levels of Baba is You, an
environment inspired by Asteroids, and a maze generation task. For Java, the
framework contains 12 games from the TAG tabletop games framework. Across 29
tasks, we evaluated 12 language models for Python and 8 for Java. Our findings
suggest that the performance of LLMs depends more on the task than on model
size. While larger models generate more executable programs, these do not
always result in higher-quality solutions but are much more expensive. No model
has a clear advantage, although on any specific task, one model may be better.
Trying many models on a problem and using the best results across them is more
reliable than using just one.",http://arxiv.org/abs/2412.04057v2,1,1
37,"Intelligent search strategies based on adaptive Constraint Handling
  Rules",2004-11-08 08:32:40,"The most advanced implementation of adaptive constraint processing with
Constraint Handling Rules (CHR) allows the application of intelligent search
strategies to solve Constraint Satisfaction Problems (CSP). This presentation
compares an improved version of conflict-directed backjumping and two variants
of dynamic backtracking with respect to chronological backtracking on some of
the AIM instances which are a benchmark set of random 3-SAT problems. A CHR
implementation of a Boolean constraint solver combined with these different
search strategies in Java is thus being compared with a CHR implementation of
the same Boolean constraint solver combined with chronological backtracking in
SICStus Prolog. This comparison shows that the addition of ``intelligence'' to
the search process may reduce the number of search steps dramatically.
Furthermore, the runtime of their Java implementations is in most cases faster
than the implementations of chronological backtracking. More specifically,
conflict-directed backjumping is even faster than the SICStus Prolog
implementation of chronological backtracking, although our Java implementation
of CHR lacks the optimisations made in the SICStus Prolog system. To appear in
Theory and Practice of Logic Programming (TPLP).",http://arxiv.org/abs/cs/0411016v2,1,1
38,"XCSP3-core: A Format for Representing Constraint
  Satisfaction/Optimization Problems",2020-09-01 15:24:49,"In this document, we introduce XCSP3-core, a subset of XCSP3 that allows us
to represent constraint satisfaction/optimization problems. The interest of
XCSP3-core is multiple: (i) focusing on the most popular frameworks (CSP and
COP) and constraints, (ii) facilitating the parsing process by means of
dedicated XCSP3-core parsers written in Java and C++ (using callback
functions), (iii) and defining a core format for comparisons (competitions) of
constraint solvers.",http://arxiv.org/abs/2009.00514v4,1,1
39,Marvin: Semantic annotation using multiple knowledge sources,2016-02-01 13:27:34,"People are producing more written material then anytime in the history. The
increase is so high that professionals from the various fields are no more able
to cope with this amount of publications. Text mining tools can offer tools to
help them and one of the tools that can aid information retrieval and
information extraction is semantic text annotation. In this report we present
Marvin, a text annotator written in Java, which can be used as a command line
tool and as a Java library. Marvin is able to annotate text using multiple
sources, including WordNet, MetaMap, DBPedia and thesauri represented as SKOS.",http://arxiv.org/abs/1602.00515v2,1,1
40,STraceBERT: Source Code Retrieval using Semantic Application Traces,2023-12-07 22:19:50,"Software reverse engineering is an essential task in software engineering and
security, but it can be a challenging process, especially for adversarial
artifacts. To address this challenge, we present STraceBERT, a novel approach
that utilizes a Java dynamic analysis tool to record calls to core Java
libraries, and pretrain a BERT-style model on the recorded application traces
for effective method source code retrieval from a candidate set. Our
experiments demonstrate the effectiveness of STraceBERT in retrieving the
source code compared to existing approaches. Our proposed approach offers a
promising solution to the problem of code retrieval in software reverse
engineering and opens up new avenues for further research in this area.",http://arxiv.org/abs/2312.04731v1,1,1
41,"A comprehensible analysis of the efficacy of Ensemble Models for Bug
  Prediction",2023-10-18 17:43:54,"The correctness of software systems is vital for their effective operation.
It makes discovering and fixing software bugs an important development task.
The increasing use of Artificial Intelligence (AI) techniques in Software
Engineering led to the development of a number of techniques that can assist
software developers in identifying potential bugs in code. In this paper, we
present a comprehensible comparison and analysis of the efficacy of two
AI-based approaches, namely single AI models and ensemble AI models, for
predicting the probability of a Java class being buggy. We used two open-source
Apache Commons Project's Java components for training and evaluating the
models. Our experimental findings indicate that the ensemble of AI models can
outperform the results of applying individual AI models. We also offer insight
into the factors that contribute to the enhanced performance of the ensemble AI
model. The presented results demonstrate the potential of using ensemble AI
models to enhance bug prediction results, which could ultimately result in more
reliable software systems.",http://arxiv.org/abs/2310.12133v1,1,1
42,Code Reborn AI-Driven Legacy Systems Modernization from COBOL to Java,2025-04-15 16:07:54,"This study investigates AI-driven modernization of legacy COBOL code into
Java, addressing a critical challenge in aging software systems. Leveraging the
Legacy COBOL 2024 Corpus -- 50,000 COBOL files from public and enterprise
sources -- Java parses the code, AI suggests upgrades, and React visualizes
gains. Achieving 93% accuracy, complexity drops 35% (from 18 to 11.7) and
coupling 33% (from 8 to 5.4), surpassing manual efforts (75%) and rule-based
tools (82%). The approach offers a scalable path to rejuvenate COBOL systems,
vital for industries like banking and insurance.",http://arxiv.org/abs/2504.11335v1,1,1
43,Aplib: Tactical Programming of Intelligent Agents,2019-11-12 07:39:07,"This paper presents aplib, a Java library for programming intelligent agents,
featuring BDI and multi agency, but adding on top of it a novel layer of
tactical programming inspired by the domain of theorem proving. Aplib is also
implemented in such a way to provide the fluency of a Domain Specific Language
(DSL). Compared to dedicated BDI agent programming languages such as JASON,
2APL, or GOAL,aplib's embedded DSL approach does mean that \aplib\ programmers
will still be limited by Java syntax, but on other hand they get all the
advantages that Java programmers get: rich language features (object
orientation, static type checking, $\lambda$-expression, libraries, etc), a
whole array of development tools, integration with other technologies, large
community, etc.",http://arxiv.org/abs/1911.04710v1,1,1
44,"RAILS: Retrieval-Augmented Intelligence for Learning Software
  Development",2025-06-28 03:30:04,"Large Language Models (LLMs) like GPT-3.5-Turbo are increasingly used to
assist software development, yet they often produce incomplete code or
incorrect imports, especially when lacking access to external or
project-specific documentation. We introduce RAILS (Retrieval-Augmented
Intelligence for Learning Software Development), a framework that augments LLM
prompts with semantically retrieved context from curated Java resources using
FAISS and OpenAI embeddings. RAILS incorporates an iterative validation loop
guided by compiler feedback to refine suggestions. We evaluated RAILS on 78
real-world Java import error cases spanning standard libraries, GUI APIs,
external tools, and custom utilities. Despite using the same LLM, RAILS
outperforms baseline prompting by preserving intent, avoiding hallucinations,
and surfacing correct imports even when libraries are unavailable locally.
Future work will integrate symbolic filtering via PostgreSQL and extend support
to other languages and IDEs.",http://arxiv.org/abs/2506.22742v1,1,1
45,Examination of Code generated by Large Language Models,2024-08-29 15:12:16,"Large language models (LLMs), such as ChatGPT and Copilot, are transforming
software development by automating code generation and, arguably, enable rapid
prototyping, support education, and boost productivity. Therefore, correctness
and quality of the generated code should be on par with manually written code.
To assess the current state of LLMs in generating correct code of high quality,
we conducted controlled experiments with ChatGPT and Copilot: we let the LLMs
generate simple algorithms in Java and Python along with the corresponding unit
tests and assessed the correctness and the quality (coverage) of the generated
(test) codes. We observed significant differences between the LLMs, between the
languages, between algorithm and test codes, and over time. The present paper
reports these results together with the experimental methods allowing repeated
and comparable assessments for more algorithms, languages, and LLMs over time.",http://arxiv.org/abs/2408.16601v1,1,1
